Регистрационный номер,Наименование НИОКР,Организация,Год начала,Год окончания,Тип работы,Направление,Стоимость
NIOKR-000032,Исследование в области 'Новые материалы' №32,УрФУ,2023,2024,Технологическая работа,Новые материалы,57792612
NIOKR-000033,Исследование в области 'Робототехника' №33,ИТМО,2018,2021,ОКР,Робототехника,91152297
NIOKR-000034,Исследование в области 'Квантовые технологии' №34,НИЯУ МИФИ,2020,2022,НИР,Квантовые технологии,31158366
NIOKR-000035,Исследование в области 'Информационные технологии' №35,Сколтех,2016,2018,Технологическая работа,Информационные технологии,31885476
NIOKR-000036,Исследование в области 'Информационные технологии' №36,НИЯУ МИФИ,2024,2025,Технологическая работа,Информационные технологии,85705205
NIOKR-000037,Исследование в области 'Искусственный интеллект' №37,МГТУ им. Баумана,2015,2016,ОКР,Искусственный интеллект,10510312
NIOKR-000038,Исследование в области 'Новые материалы' №38,КФУ,2023,2024,НИР,Новые материалы,73374753
NIOKR-000039,Исследование в области 'Квантовые технологии' №39,СПбГУ,2017,2020,ОКР,Квантовые технологии,55634663
NIOKR-000040,Исследование в области 'Искусственный интеллект' №40,Томский политехнический университет,2018,2019,ОКР,Искусственный интеллект,57851760
NIOKR-000041,Исследование в области 'Информационные технологии' №41,НИЯУ МИФИ,2021,2023,НИР,Информационные технологии,55038913
NIOKR-000042,Исследование в области 'Робототехника' №42,СПбГУ,2020,2021,НИР,Робототехника,72979055
NIOKR-000043,Исследование в области 'Микроэлектроника' №43,МФТИ,2022,2023,ОКР,Микроэлектроника,63092888
NIOKR-000044,Исследование в области 'Квантовые технологии' №44,УрФУ,2018,2019,НИР,Квантовые технологии,7789850
NIOKR-000045,Исследование в области 'Искусственный интеллект' №45,СПбГУ,2023,2024,НИР,Искусственный интеллект,55547971
NIOKR-000046,Исследование в области 'Робототехника' №46,Томский политехнический университет,2022,2024,НИР,Робототехника,23097220
NIOKR-000047,Исследование в области 'Микроэлектроника' №47,ИТМО,2021,2022,ОКР,Микроэлектроника,39285503
NIOKR-000048,Исследование в области 'Квантовые технологии' №48,МФТИ,2021,2024,НИР,Квантовые технологии,40823450
NIOKR-000049,Исследование в области 'Информационные технологии' №49,НИУ ВШЭ,2018,2019,НИР,Информационные технологии,7729990
NIOKR-000050,Исследование в области 'Ядерные технологии' №50,МГТУ им. Баумана,2024,2026,Технологическая работа,Ядерные технологии,11752378
NIOKR-000051,Исследование в области 'Искусственный интеллект' №51,СПбГУ,2017,2018,ОКР,Искусственный интеллект,17090908
NIOKR-000052,Исследование в области 'Информационные технологии' №52,Сколтех,2024,2025,НИР,Информационные технологии,57267415
NIOKR-000053,Исследование в области 'Биотехнологии' №53,ИТМО,2024,2027,НИР,Биотехнологии,90889098
NIOKR-000054,Исследование в области 'Новые материалы' №54,Томский политехнический университет,2020,2021,НИР,Новые материалы,91152735
NIOKR-000055,Исследование в области 'Биотехнологии' №55,НИЯУ МИФИ,2019,2021,НИР,Биотехнологии,62510041
NIOKR-000056,Исследование в области 'Искусственный интеллект' №56,НИЯУ МИФИ,2024,2027,Технологическая работа,Искусственный интеллект,29609087
NIOKR-000057,Исследование в области 'Ядерные технологии' №57,НИУ ВШЭ,2023,2025,НИР,Ядерные технологии,33787299
NIOKR-000058,Исследование в области 'Ядерные технологии' №58,КФУ,2020,2022,Технологическая работа,Ядерные технологии,95427530
NIOKR-000059,Исследование в области 'Информационные технологии' №59,УрФУ,2019,2022,ОКР,Информационные технологии,90038526
NIOKR-000060,Исследование в области 'Новые материалы' №60,НИЯУ МИФИ,2016,2017,НИР,Новые материалы,75252420
NIOKR-000061,Исследование в области 'Новые материалы' №61,Сколтех,2017,2019,НИР,Новые материалы,97316277
NIOKR-000062,Исследование в области 'Новые материалы' №62,УрФУ,2020,2021,ОКР,Новые материалы,34704923
NIOKR-000063,Исследование в области 'Микроэлектроника' №63,ИТМО,2015,2016,НИР,Микроэлектроника,1475894
NIOKR-000064,Исследование в области 'Новые материалы' №64,МФТИ,2020,2021,Технологическая работа,Новые материалы,60302158
NIOKR-000065,Исследование в области 'Микроэлектроника' №65,УрФУ,2023,2026,НИР,Микроэлектроника,16015458
NIOKR-000066,Исследование в области 'Ядерные технологии' №66,УрФУ,2016,2019,НИР,Ядерные технологии,50555330
NIOKR-000067,Исследование в области 'Ядерные технологии' №67,Томский политехнический университет,2024,2027,НИР,Ядерные технологии,6614174
NIOKR-000068,Исследование в области 'Информационные технологии' №68,НИУ ВШЭ,2019,2021,НИР,Информационные технологии,92545441
NIOKR-000069,Исследование в области 'Искусственный интеллект' №69,НИУ ВШЭ,2018,2021,Технологическая работа,Искусственный интеллект,55543049
NIOKR-000070,Исследование в области 'Ядерные технологии' №70,СПбГУ,2024,2027,НИР,Ядерные технологии,24763566
NIOKR-000071,Исследование в области 'Ядерные технологии' №71,НИУ ВШЭ,2021,2022,ОКР,Ядерные технологии,90913412
NIOKR-000072,Исследование в области 'Ядерные технологии' №72,НИЯУ МИФИ,2018,2020,ОКР,Ядерные технологии,6197528
NIOKR-000073,Исследование в области 'Робототехника' №73,КФУ,2022,2023,ОКР,Робототехника,41962024
NIOKR-000074,Исследование в области 'Информационные технологии' №74,СПбГУ,2018,2019,ОКР,Информационные технологии,45058573
NIOKR-000075,Исследование в области 'Новые материалы' №75,НИУ ВШЭ,2019,2020,Технологическая работа,Новые материалы,69371272
NIOKR-000076,Исследование в области 'Биотехнологии' №76,МГТУ им. Баумана,2021,2024,НИР,Биотехнологии,36059710
NIOKR-000077,Исследование в области 'Новые материалы' №77,МГТУ им. Баумана,2017,2020,НИР,Новые материалы,81070438
NIOKR-000078,Исследование в области 'Биотехнологии' №78,Томский политехнический университет,2021,2023,Технологическая работа,Биотехнологии,69642041
NIOKR-000079,Исследование в области 'Робототехника' №79,ИТМО,2016,2018,НИР,Робототехника,96131550
NIOKR-000080,Исследование в области 'Робототехника' №80,НИУ ВШЭ,2021,2022,ОКР,Робототехника,10391725
NIOKR-000081,Исследование в области 'Биотехнологии' №81,НИЯУ МИФИ,2020,2023,Технологическая работа,Биотехнологии,41308572
NIOKR-000082,Исследование в области 'Микроэлектроника' №82,НИУ ВШЭ,2023,2025,ОКР,Микроэлектроника,94577729
NIOKR-000083,Исследование в области 'Ядерные технологии' №83,СПбГУ,2019,2022,ОКР,Ядерные технологии,90245317
NIOKR-000084,Исследование в области 'Ядерные технологии' №84,Сколтех,2021,2024,Технологическая работа,Ядерные технологии,41392808
NIOKR-000085,Исследование в области 'Информационные технологии' №85,ИТМО,2021,2024,ОКР,Информационные технологии,29210242
NIOKR-000086,Исследование в области 'Биотехнологии' №86,КФУ,2021,2024,ОКР,Биотехнологии,60345683
NIOKR-000087,Исследование в области 'Квантовые технологии' №87,МФТИ,2018,2021,Технологическая работа,Квантовые технологии,12381064
NIOKR-000088,Исследование в области 'Биотехнологии' №88,НИЯУ МИФИ,2019,2022,НИР,Биотехнологии,91301106
NIOKR-000089,Исследование в области 'Робототехника' №89,МФТИ,2019,2020,НИР,Робототехника,7202700
NIOKR-000090,Исследование в области 'Искусственный интеллект' №90,КФУ,2018,2020,ОКР,Искусственный интеллект,85525678
NIOKR-000091,Исследование в области 'Микроэлектроника' №91,КФУ,2024,2025,ОКР,Микроэлектроника,33747037
NIOKR-000092,Исследование в области 'Информационные технологии' №92,НИЯУ МИФИ,2017,2020,ОКР,Информационные технологии,30372360
NIOKR-000093,Исследование в области 'Квантовые технологии' №93,МГТУ им. Баумана,2017,2020,Технологическая работа,Квантовые технологии,34446826
NIOKR-000094,Исследование в области 'Ядерные технологии' №94,КФУ,2016,2018,Технологическая работа,Ядерные технологии,72287314
NIOKR-000095,Исследование в области 'Биотехнологии' №95,КФУ,2023,2026,Технологическая работа,Биотехнологии,97539316
NIOKR-000096,Исследование в области 'Квантовые технологии' №96,МФТИ,2023,2025,Технологическая работа,Квантовые технологии,64709724
NIOKR-000097,Исследование в области 'Робототехника' №97,ИТМО,2022,2024,Технологическая работа,Робототехника,66041510
NIOKR-000098,Исследование в области 'Квантовые технологии' №98,НИЯУ МИФИ,2018,2020,Технологическая работа,Квантовые технологии,39349783
NIOKR-000099,Исследование в области 'Биотехнологии' №99,НИУ ВШЭ,2018,2020,Технологическая работа,Биотехнологии,11814950
NIOKR-000100,Исследование в области 'Робототехника' №100,Томский политехнический университет,2017,2018,Технологическая работа,Робототехника,21509175
NIOKR-000101,Исследование в области 'Микроэлектроника' №101,Томский политехнический университет,2018,2019,ОКР,Микроэлектроника,73828034
NIOKR-000102,Исследование в области 'Информационные технологии' №102,СПбГУ,2022,2024,ОКР,Информационные технологии,53274692
NIOKR-000103,Исследование в области 'Информационные технологии' №103,Сколтех,2024,2027,ОКР,Информационные технологии,65019136
NIOKR-000104,Исследование в области 'Новые материалы' №104,Томский политехнический университет,2015,2017,ОКР,Новые материалы,73238741
NIOKR-000105,Исследование в области 'Робототехника' №105,КФУ,2023,2026,НИР,Робототехника,37632757
NIOKR-000106,Исследование в области 'Информационные технологии' №106,Томский политехнический университет,2021,2023,ОКР,Информационные технологии,90774697
NIOKR-000107,Исследование в области 'Ядерные технологии' №107,КФУ,2021,2024,НИР,Ядерные технологии,84517915
NIOKR-000108,Исследование в области 'Микроэлектроника' №108,Сколтех,2023,2024,Технологическая работа,Микроэлектроника,89986321
NIOKR-000109,Исследование в области 'Микроэлектроника' №109,МФТИ,2015,2016,ОКР,Микроэлектроника,25391257
NIOKR-000110,Исследование в области 'Микроэлектроника' №110,НИУ ВШЭ,2015,2017,НИР,Микроэлектроника,62028710
NIOKR-000111,Исследование в области 'Микроэлектроника' №111,ИТМО,2020,2022,ОКР,Микроэлектроника,34859311
NIOKR-000112,Исследование в области 'Информационные технологии' №112,УрФУ,2016,2018,НИР,Информационные технологии,47970882
NIOKR-000113,Исследование в области 'Искусственный интеллект' №113,МГТУ им. Баумана,2018,2021,НИР,Искусственный интеллект,34189803
NIOKR-000114,Исследование в области 'Ядерные технологии' №114,СПбГУ,2018,2019,НИР,Ядерные технологии,64560289
NIOKR-000115,Исследование в области 'Робототехника' №115,КФУ,2016,2019,Технологическая работа,Робототехника,35392446
NIOKR-000116,Исследование в области 'Искусственный интеллект' №116,МФТИ,2020,2021,ОКР,Искусственный интеллект,15508768
NIOKR-000117,Исследование в области 'Новые материалы' №117,Сколтех,2024,2025,Технологическая работа,Новые материалы,51372847
NIOKR-000118,Исследование в области 'Робототехника' №118,НИЯУ МИФИ,2021,2024,Технологическая работа,Робототехника,93692697
NIOKR-000119,Исследование в области 'Новые материалы' №119,Сколтех,2018,2019,НИР,Новые материалы,76958181
NIOKR-000120,Исследование в области 'Микроэлектроника' №120,НИУ ВШЭ,2015,2017,НИР,Микроэлектроника,68908907
NIOKR-000121,Исследование в области 'Микроэлектроника' №121,КФУ,2020,2021,НИР,Микроэлектроника,59186525
NIOKR-000122,Исследование в области 'Квантовые технологии' №122,МФТИ,2020,2023,ОКР,Квантовые технологии,24640702
NIOKR-000123,Исследование в области 'Новые материалы' №123,Сколтех,2023,2026,Технологическая работа,Новые материалы,65893936
NIOKR-000124,Исследование в области 'Новые материалы' №124,НИУ ВШЭ,2022,2024,НИР,Новые материалы,12631697
NIOKR-000125,Исследование в области 'Робототехника' №125,КФУ,2019,2021,Технологическая работа,Робототехника,82917334
NIOKR-000126,Исследование в области 'Информационные технологии' №126,КФУ,2021,2023,ОКР,Информационные технологии,25406132
NIOKR-000127,Исследование в области 'Биотехнологии' №127,ИТМО,2022,2023,ОКР,Биотехнологии,38535126
NIOKR-000128,Исследование в области 'Новые материалы' №128,УрФУ,2024,2027,НИР,Новые материалы,70340535
NIOKR-000129,Исследование в области 'Робототехника' №129,Томский политехнический университет,2018,2019,ОКР,Робототехника,75514489
NIOKR-000130,Исследование в области 'Квантовые технологии' №130,КФУ,2018,2021,ОКР,Квантовые технологии,3314351
NIOKR-000131,Исследование в области 'Робототехника' №131,Томский политехнический университет,2016,2018,Технологическая работа,Робототехника,33655866
NIOKR-000132,Исследование в области 'Биотехнологии' №132,КФУ,2019,2022,Технологическая работа,Биотехнологии,72259135
NIOKR-000133,Исследование в области 'Биотехнологии' №133,НИУ ВШЭ,2020,2022,Технологическая работа,Биотехнологии,61900658
NIOKR-000134,Исследование в области 'Новые материалы' №134,СПбГУ,2019,2021,НИР,Новые материалы,97809144
NIOKR-000135,Исследование в области 'Искусственный интеллект' №135,УрФУ,2018,2020,Технологическая работа,Искусственный интеллект,25850391
NIOKR-000136,Исследование в области 'Квантовые технологии' №136,ИТМО,2018,2019,Технологическая работа,Квантовые технологии,80133014
NIOKR-000137,Исследование в области 'Новые материалы' №137,НИЯУ МИФИ,2023,2026,НИР,Новые материалы,40761527
NIOKR-000138,Исследование в области 'Ядерные технологии' №138,ИТМО,2018,2020,НИР,Ядерные технологии,96028632
NIOKR-000139,Исследование в области 'Новые материалы' №139,МГТУ им. Баумана,2023,2024,НИР,Новые материалы,75270583
NIOKR-000140,Исследование в области 'Ядерные технологии' №140,КФУ,2019,2022,НИР,Ядерные технологии,2646234
NIOKR-000141,Исследование в области 'Квантовые технологии' №141,КФУ,2024,2026,ОКР,Квантовые технологии,46728776
NIOKR-000142,Исследование в области 'Новые материалы' №142,КФУ,2017,2018,НИР,Новые материалы,9770247
NIOKR-000143,Исследование в области 'Искусственный интеллект' №143,Сколтех,2021,2023,Технологическая работа,Искусственный интеллект,93133896
NIOKR-000144,Исследование в области 'Ядерные технологии' №144,Сколтех,2015,2016,ОКР,Ядерные технологии,12432787
NIOKR-000145,Исследование в области 'Микроэлектроника' №145,Сколтех,2018,2019,Технологическая работа,Микроэлектроника,84002706
NIOKR-000146,Исследование в области 'Микроэлектроника' №146,КФУ,2018,2021,ОКР,Микроэлектроника,40910061
NIOKR-000147,Исследование в области 'Новые материалы' №147,Сколтех,2024,2026,Технологическая работа,Новые материалы,9083974
NIOKR-000148,Исследование в области 'Искусственный интеллект' №148,СПбГУ,2024,2027,Технологическая работа,Искусственный интеллект,29323322
NIOKR-000149,Исследование в области 'Искусственный интеллект' №149,МФТИ,2019,2022,НИР,Искусственный интеллект,24328859
NIOKR-000150,Исследование в области 'Ядерные технологии' №150,МГТУ им. Баумана,2023,2024,ОКР,Ядерные технологии,61465583
NIOKR-000151,Исследование в области 'Новые материалы' №151,МГТУ им. Баумана,2024,2026,НИР,Новые материалы,39668783
NIOKR-000152,Исследование в области 'Квантовые технологии' №152,НИЯУ МИФИ,2019,2022,Технологическая работа,Квантовые технологии,32329612
NIOKR-000153,Исследование в области 'Робототехника' №153,Томский политехнический университет,2019,2022,НИР,Робототехника,74089925
NIOKR-000154,Исследование в области 'Ядерные технологии' №154,ИТМО,2018,2021,НИР,Ядерные технологии,10584466
NIOKR-000155,Исследование в области 'Новые материалы' №155,Сколтех,2015,2016,Технологическая работа,Новые материалы,77397676
NIOKR-000156,Исследование в области 'Искусственный интеллект' №156,КФУ,2019,2021,Технологическая работа,Искусственный интеллект,41814428
NIOKR-000157,Исследование в области 'Квантовые технологии' №157,КФУ,2021,2023,НИР,Квантовые технологии,81267122
NIOKR-000158,Исследование в области 'Биотехнологии' №158,Сколтех,2015,2017,ОКР,Биотехнологии,4471527
NIOKR-000159,Исследование в области 'Информационные технологии' №159,ИТМО,2016,2017,Технологическая работа,Информационные технологии,6399803
NIOKR-000160,Исследование в области 'Квантовые технологии' №160,ИТМО,2017,2019,НИР,Квантовые технологии,79561612
NIOKR-000161,Исследование в области 'Квантовые технологии' №161,НИЯУ МИФИ,2021,2024,ОКР,Квантовые технологии,47702542
NIOKR-000162,Исследование в области 'Биотехнологии' №162,НИЯУ МИФИ,2021,2023,НИР,Биотехнологии,45265498
NIOKR-000163,Исследование в области 'Квантовые технологии' №163,ИТМО,2021,2024,Технологическая работа,Квантовые технологии,54747791
NIOKR-000164,Исследование в области 'Квантовые технологии' №164,НИЯУ МИФИ,2023,2024,ОКР,Квантовые технологии,34876400
NIOKR-000165,Исследование в области 'Микроэлектроника' №165,УрФУ,2020,2021,НИР,Микроэлектроника,89269682
NIOKR-000166,Исследование в области 'Микроэлектроника' №166,МГТУ им. Баумана,2023,2025,НИР,Микроэлектроника,70583757
NIOKR-000167,Исследование в области 'Квантовые технологии' №167,КФУ,2020,2023,НИР,Квантовые технологии,28321124
NIOKR-000168,Исследование в области 'Ядерные технологии' №168,ИТМО,2019,2022,ОКР,Ядерные технологии,94717532
NIOKR-000169,Исследование в области 'Информационные технологии' №169,Сколтех,2022,2023,НИР,Информационные технологии,96265438
NIOKR-000170,Исследование в области 'Информационные технологии' №170,УрФУ,2017,2019,ОКР,Информационные технологии,13510327
NIOKR-000171,Исследование в области 'Квантовые технологии' №171,НИЯУ МИФИ,2018,2019,Технологическая работа,Квантовые технологии,21665654
NIOKR-000172,Исследование в области 'Новые материалы' №172,УрФУ,2022,2025,Технологическая работа,Новые материалы,37698468
NIOKR-000173,Исследование в области 'Квантовые технологии' №173,СПбГУ,2021,2023,ОКР,Квантовые технологии,74989546
NIOKR-000174,Исследование в области 'Робототехника' №174,Сколтех,2017,2019,Технологическая работа,Робототехника,19321839
NIOKR-000175,Исследование в области 'Микроэлектроника' №175,НИУ ВШЭ,2016,2018,Технологическая работа,Микроэлектроника,36859307
NIOKR-000176,Исследование в области 'Новые материалы' №176,Сколтех,2015,2017,Технологическая работа,Новые материалы,89575748
NIOKR-000177,Исследование в области 'Квантовые технологии' №177,УрФУ,2022,2023,ОКР,Квантовые технологии,47321751
NIOKR-000178,Исследование в области 'Микроэлектроника' №178,КФУ,2020,2023,ОКР,Микроэлектроника,26320492
NIOKR-000179,Исследование в области 'Микроэлектроника' №179,СПбГУ,2018,2021,ОКР,Микроэлектроника,6858241
NIOKR-000180,Исследование в области 'Квантовые технологии' №180,Томский политехнический университет,2020,2023,ОКР,Квантовые технологии,90078806
NIOKR-000181,Исследование в области 'Информационные технологии' №181,МФТИ,2017,2019,Технологическая работа,Информационные технологии,80212676
NIOKR-000182,Исследование в области 'Квантовые технологии' №182,НИЯУ МИФИ,2020,2021,Технологическая работа,Квантовые технологии,62327848
NIOKR-000183,Исследование в области 'Ядерные технологии' №183,Томский политехнический университет,2015,2018,Технологическая работа,Ядерные технологии,21718012
NIOKR-000184,Исследование в области 'Новые материалы' №184,НИУ ВШЭ,2016,2018,Технологическая работа,Новые материалы,93973237
NIOKR-000185,Исследование в области 'Искусственный интеллект' №185,НИУ ВШЭ,2021,2024,Технологическая работа,Искусственный интеллект,72621574
NIOKR-000186,Исследование в области 'Квантовые технологии' №186,УрФУ,2021,2023,НИР,Квантовые технологии,83874006
NIOKR-000187,Исследование в области 'Новые материалы' №187,СПбГУ,2016,2017,Технологическая работа,Новые материалы,13130508
NIOKR-000188,Исследование в области 'Искусственный интеллект' №188,КФУ,2021,2022,НИР,Искусственный интеллект,94147259
NIOKR-000189,Исследование в области 'Информационные технологии' №189,НИУ ВШЭ,2019,2020,НИР,Информационные технологии,40375156
NIOKR-000190,Исследование в области 'Микроэлектроника' №190,МФТИ,2020,2022,НИР,Микроэлектроника,72291936
NIOKR-000191,Исследование в области 'Ядерные технологии' №191,МФТИ,2021,2024,НИР,Ядерные технологии,11598952
NIOKR-000192,Исследование в области 'Робототехника' №192,КФУ,2024,2026,Технологическая работа,Робототехника,20208935
NIOKR-000193,Исследование в области 'Новые материалы' №193,КФУ,2018,2020,ОКР,Новые материалы,90501846
NIOKR-000194,Исследование в области 'Новые материалы' №194,УрФУ,2015,2017,НИР,Новые материалы,10913576
NIOKR-000195,Исследование в области 'Новые материалы' №195,Томский политехнический университет,2022,2024,Технологическая работа,Новые материалы,34567615
NIOKR-000196,Исследование в области 'Робототехника' №196,Томский политехнический университет,2022,2024,ОКР,Робототехника,15314759
NIOKR-000197,Исследование в области 'Биотехнологии' №197,Сколтех,2018,2020,ОКР,Биотехнологии,94855649
NIOKR-000198,Исследование в области 'Микроэлектроника' №198,ИТМО,2019,2020,НИР,Микроэлектроника,76957706
NIOKR-000199,Исследование в области 'Квантовые технологии' №199,ИТМО,2015,2018,НИР,Квантовые технологии,82478884
NIOKR-000200,Исследование в области 'Робототехника' №200,Сколтех,2020,2021,ОКР,Робототехника,91968005
NIOKR-000201,Исследование в области 'Искусственный интеллект' №201,МГТУ им. Баумана,2017,2020,ОКР,Искусственный интеллект,60166287
NIOKR-000202,Исследование в области 'Биотехнологии' №202,МФТИ,2015,2018,НИР,Биотехнологии,40609054
NIOKR-000203,Исследование в области 'Микроэлектроника' №203,МФТИ,2020,2023,НИР,Микроэлектроника,18738187
NIOKR-000204,Исследование в области 'Новые материалы' №204,МФТИ,2023,2025,ОКР,Новые материалы,65672520
NIOKR-000205,Исследование в области 'Биотехнологии' №205,НИЯУ МИФИ,2019,2022,ОКР,Биотехнологии,11106509
NIOKR-000206,Исследование в области 'Микроэлектроника' №206,УрФУ,2017,2018,ОКР,Микроэлектроника,13120246
NIOKR-000207,Исследование в области 'Новые материалы' №207,УрФУ,2021,2022,НИР,Новые материалы,62040347
NIOKR-000208,Исследование в области 'Новые материалы' №208,Сколтех,2020,2023,ОКР,Новые материалы,86704631
NIOKR-000209,Исследование в области 'Робототехника' №209,КФУ,2020,2021,НИР,Робототехника,84154172
NIOKR-000210,Исследование в области 'Робототехника' №210,НИЯУ МИФИ,2023,2025,Технологическая работа,Робототехника,63312933
NIOKR-000211,Исследование в области 'Микроэлектроника' №211,НИЯУ МИФИ,2019,2022,НИР,Микроэлектроника,7086345
NIOKR-000212,Исследование в области 'Квантовые технологии' №212,НИЯУ МИФИ,2015,2017,НИР,Квантовые технологии,32514326
NIOKR-000213,Исследование в области 'Микроэлектроника' №213,КФУ,2023,2024,ОКР,Микроэлектроника,90991136
NIOKR-000214,Исследование в области 'Ядерные технологии' №214,Томский политехнический университет,2023,2025,Технологическая работа,Ядерные технологии,14290458
NIOKR-000215,Исследование в области 'Микроэлектроника' №215,ИТМО,2022,2025,НИР,Микроэлектроника,93647902
NIOKR-000216,Исследование в области 'Квантовые технологии' №216,КФУ,2020,2021,НИР,Квантовые технологии,49678896
NIOKR-000217,Исследование в области 'Биотехнологии' №217,УрФУ,2016,2019,Технологическая работа,Биотехнологии,49140388
NIOKR-000218,Исследование в области 'Новые материалы' №218,СПбГУ,2015,2017,НИР,Новые материалы,62031132
NIOKR-000219,Исследование в области 'Робототехника' №219,Сколтех,2016,2019,НИР,Робототехника,7788532
NIOKR-000220,Исследование в области 'Ядерные технологии' №220,Сколтех,2020,2021,НИР,Ядерные технологии,10208698
NIOKR-000221,Исследование в области 'Робототехника' №221,СПбГУ,2023,2024,ОКР,Робототехника,20804386
NIOKR-000222,Исследование в области 'Новые материалы' №222,МФТИ,2024,2025,НИР,Новые материалы,73506491
NIOKR-000223,Исследование в области 'Искусственный интеллект' №223,МГТУ им. Баумана,2019,2020,НИР,Искусственный интеллект,2994519
NIOKR-000224,Исследование в области 'Биотехнологии' №224,МГТУ им. Баумана,2020,2021,НИР,Биотехнологии,36617024
NIOKR-000225,Исследование в области 'Микроэлектроника' №225,УрФУ,2015,2016,НИР,Микроэлектроника,9530615
NIOKR-000226,Исследование в области 'Биотехнологии' №226,УрФУ,2022,2024,Технологическая работа,Биотехнологии,15636981
NIOKR-000227,Исследование в области 'Робототехника' №227,Сколтех,2022,2025,НИР,Робототехника,98608902
NIOKR-000228,Исследование в области 'Квантовые технологии' №228,МГТУ им. Баумана,2023,2025,НИР,Квантовые технологии,65287863
NIOKR-000229,Исследование в области 'Искусственный интеллект' №229,КФУ,2021,2023,Технологическая работа,Искусственный интеллект,60533928
NIOKR-000230,Исследование в области 'Биотехнологии' №230,Сколтех,2016,2017,НИР,Биотехнологии,9815720
NIOKR-000231,Исследование в области 'Биотехнологии' №231,Томский политехнический университет,2017,2019,Технологическая работа,Биотехнологии,72210133
NIOKR-000232,Исследование в области 'Микроэлектроника' №232,НИЯУ МИФИ,2019,2021,Технологическая работа,Микроэлектроника,16356396
NIOKR-000233,Исследование в области 'Робототехника' №233,Томский политехнический университет,2023,2026,ОКР,Робототехника,31667888
